State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
LA	71334	2	12.426103	1.9936125		
LA	71342	11	176.193196	98.98133		
LA	71343	3	49.184	20.237085		
LA	71346	1	1.5	1.247		
LA	71350	2	47.2346265	39.8976265		
LA	71351	15	183.9933205	76.3171035		
LA	71355	3	50.88	28.0096905		
LA	71357	1	33.92	18.6731325		
LA	71360	28	358.2157595	173.7049		
LA	71366	3	40.568	18.979587		
LA	71371	1	2.7688815	2.7688815		
LA	71373	6	152.624996	58.945227		
LA	71378	1	13.568	2.616042		
LA	71403	2	30.852	12.643389		
LA	71405	3	59.744	35.4789435		
LA	71406	1	18.656	9.336558		
LA	71409	3	45.852	23.1816255		
LA	71414	1	10.065	10.065		
LA	71416	1	1.1171655	1.1171655		
LA	71417	2	37.832	17.6139645		
LA	71418	4	93.332	50.0722575		
LA	71422	1	18.656	10.270227		
LA	71424	1	15.264	3.1657395		
LA	71427	1	22.048	12.137532		
LA	71429	3	27.040279	7.547298		
LA	71433	1	11.872	1.4395095		
LA	71435	2	13.3328605	2.90037		
LA	71438	1	8.48	1.4971935		
LA	71446	25	426.188027	254.8524165		
LA	71449	14	104.3407555	32.389077		
LA	71450	1	11.872	1.4395095		
LA	71454	1	15	9.336558		
LA	71456	1	18	11.2038795		
LA	71457	34	664.051802	308.828288		
LA	71459	4	30.7235095	8.0202705		
LA	71463	2	29.156	11.7097365		
LA	71465	1	1.5	0.73425		
LA	71467	5	81.988	43.3064115		
LA	71468	1	8.48	1.7002095		
LA	71469	2	37.5798935	24.2941845		
LA	71483	9	161.0299315	74.5279875		
LA	71485	1	16.5	10.270227		
LA	71486	3	47.488	21.593913		
AR	71601	15	345.78	169.480269		
AR	71602	14	219.6268155	122.788433		
AR	71603	18	208.9069285	75.790861		
AR	71635	5	97.375826	67.558884		
AR	71639	9	313.568416	205.0176815		
AR	71640	1	13.568	1.6455285		
AR	71646	5	61.5075095	25.3960575		
AR	71653	6	92.0892345	40.053552		
AR	71654	6	75.1300075	24.3329955		
